****** PSID DATA CENTER ************************* 
****** Variable labels for JobID = 321540 ******* 

Variable    Labels

ER17001    RELEASE NUMBER                          
ER17002    2001 FAMILY INTERVIEW (ID) NUMBER       
ER17004    PSID STATE OF RESIDENCE CODE            
ER17022    1968 FAMILY IDENTIFIER                  
ER19161    G102 WTR ITEMIZE FOR TAX                
ER19162    G102A ITEMIZED CHARITABLE CONTRIB AMT   
ER20064    T5 WTR DONATED TO ORGANIZATN FOR HEALTH 
ER20065    T5A DOLLAR AMT OF HEALTH DONATIONS      
ER20377    BEALE RURAL-URBAN CODE                  
ER20378    SIZE LARGEST CITY IN COUNTY             
ER20456    TOTAL FAMILY INCOME-2000                
ER21001    RELEASE NUMBER                          
ER21002    2003 FAMILY INTERVIEW (ID) NUMBER       
ER21003    PSID STATE OF RESIDENCE CODE            
ER21009    1968 FAMILY IDENTIFIER                  
ER22534    G102 WTR ITEMIZE FOR TAX                
ER22535    G102A ITEMIZED CHARITABLE CONTRIB AMT   
ER23500    M5 WTR DONATED TO ORGANIZATN FOR HEALTH 
ER23501    M5A DOLLAR AMT OF HEALTH DONATIONS      
ER24099    TOTAL FAMILY INCOME LAST YEAR           
ER24144    BEALE RURAL-URBAN CODE                  
ER24145    SIZE LARGEST CITY IN COUNTY             
ER25001    RELEASE NUMBER                          
ER25002    2005 FAMILY INTERVIEW (ID) NUMBER       
ER25003    PSID STATE OF RESIDENCE CODE            
ER25009    1968 FAMILY IDENTIFIER                  
ER26515    G102 WTR ITEMIZE FOR TAX                
ER26516    G102A ITEMIZED CHARITABLE CONTRIB AMT   
ER27468    M5 WTR DONATED TO ORGANIZATN FOR HEALTH 
ER27469    M5A DOLLAR AMT OF HEALTH DONATIONS      
ER28037    TOTAL FAMILY INCOME-2004                
ER28043    BEALE RURAL-URBAN CODE                  
ER36001    RELEASE NUMBER                          
ER36002    2007 FAMILY INTERVIEW (ID) NUMBER       
ER36003    PSID STATE OF RESIDENCE CODE            
ER36009    1968 FAMILY IDENTIFIER                  
